date,total_accesses,accesses_persone,accesses_merci,accesses_bus,accesses_altro,accesses_nc,hourly_rows,source,year,month,day,weekday,is_weekend
2012-01-01,77124.0,72390.0,1699.0,1414.0,347.0,1274.0,24,hourly_category_2012_2016,2012,1,1,6,True
2012-01-02,92461.0,79217.0,9199.0,1654.0,1150.0,1241.0,24,hourly_category_2012_2016,2012,1,2,0,False
2012-01-03,109458.0,93285.0,11323.0,1803.0,1532.0,1515.0,24,hourly_category_2012_2016,2012,1,3,1,False
2012-01-04,116050.0,99545.0,11716.0,1763.0,1493.0,1533.0,24,hourly_category_2012_2016,2012,1,4,2,False
2012-01-05,128023.0,111274.0,11727.0,1739.0,1630.0,1653.0,24,hourly_category_2012_2016,2012,1,5,3,False
2012-01-06,103325.0,97023.0,2982.0,1386.0,530.0,1404.0,24,hourly_category_2012_2016,2012,1,6,4,False
2012-01-07,121604.0,112786.0,4474.0,1657.0,931.0,1756.0,24,hourly_category_2012_2016,2012,1,7,5,True
2012-01-08,112733.0,106575.0,2612.0,1485.0,433.0,1628.0,24,hourly_category_2012_2016,2012,1,8,6,True
2012-01-09,149240.0,128567.0,14828.0,2101.0,1827.0,1917.0,24,hourly_category_2012_2016,2012,1,9,0,False
2012-01-10,162360.0,139566.0,16583.0,2232.0,2014.0,1965.0,24,hourly_category_2012_2016,2012,1,10,1,False
2012-01-11,168441.0,145651.0,16447.0,2206.0,1965.0,2172.0,24,hourly_category_2012_2016,2012,1,11,2,False
2012-01-12,173350.0,149928.0,17055.0,2262.0,1922.0,2183.0,24,hourly_category_2012_2016,2012,1,12,3,False
2012-01-13,166961.0,143246.0,17387.0,2275.0,1897.0,2156.0,24,hourly_category_2012_2016,2012,1,13,4,False
2012-01-14,161418.0,148530.0,7431.0,1896.0,1181.0,2380.0,24,hourly_category_2012_2016,2012,1,14,5,True
2012-01-15,126169.0,119549.0,2910.0,1551.0,389.0,1770.0,24,hourly_category_2012_2016,2012,1,15,6,True
2012-01-16,125661.0,106176.0,13685.0,2348.0,1735.0,1717.0,24,hourly_category_2012_2016,2012,1,16,0,False
2012-01-17,127546.0,107544.0,13914.0,2378.0,1935.0,1775.0,24,hourly_category_2012_2016,2012,1,17,1,False
2012-01-18,114992.0,94301.0,14506.0,2609.0,1895.0,1681.0,24,hourly_category_2012_2016,2012,1,18,2,False
2012-01-19,119019.0,98029.0,14750.0,2553.0,1892.0,1795.0,24,hourly_category_2012_2016,2012,1,19,3,False
2012-01-20,121180.0,100336.0,14471.0,2578.0,1922.0,1873.0,24,hourly_category_2012_2016,2012,1,20,4,False
2012-01-21,149431.0,137479.0,6587.0,1963.0,1219.0,2183.0,24,hourly_category_2012_2016,2012,1,21,5,True
2012-01-22,116996.0,110572.0,2596.0,1754.0,437.0,1637.0,24,hourly_category_2012_2016,2012,1,22,6,True
2012-01-23,101268.0,82520.0,13118.0,2496.0,1669.0,1465.0,24,hourly_category_2012_2016,2012,1,23,0,False
2012-01-24,128173.0,107351.0,14539.0,2737.0,1879.0,1667.0,24,hourly_category_2012_2016,2012,1,24,1,False
2012-01-25,133317.0,112725.0,14317.0,2665.0,1818.0,1792.0,24,hourly_category_2012_2016,2012,1,25,2,False
2012-01-26,139244.0,118135.0,14550.0,2772.0,1892.0,1895.0,24,hourly_category_2012_2016,2012,1,26,3,False
