date,hour,total_accesses,accesses_persone,accesses_merci,accesses_bus,accesses_altro,accesses_nc,areac,year,month,weekday,is_weekend,time_band
2012-01-01,0,2738.0,2572.0,59.0,37.0,16.0,54.0,0,2012,1,6,True,night
2012-01-01,1,4832.0,4608.0,85.0,39.0,25.0,75.0,0,2012,1,6,True,night
2012-01-01,2,4348.0,4158.0,77.0,36.0,16.0,61.0,0,2012,1,6,True,night
2012-01-01,3,3113.0,2939.0,72.0,31.0,22.0,49.0,0,2012,1,6,True,night
2012-01-01,4,2195.0,2073.0,56.0,35.0,6.0,25.0,0,2012,1,6,True,night
2012-01-01,5,1686.0,1564.0,40.0,43.0,9.0,30.0,0,2012,1,6,True,night
2012-01-01,6,1489.0,1348.0,37.0,61.0,17.0,26.0,0,2012,1,6,True,morning_peak
2012-01-01,7,1044.0,921.0,37.0,56.0,16.0,14.0,0,2012,1,6,True,morning_peak
2012-01-01,8,1096.0,927.0,54.0,67.0,23.0,25.0,0,2012,1,6,True,morning_peak
2012-01-01,9,1578.0,1367.0,73.0,67.0,25.0,46.0,0,2012,1,6,True,morning_peak
2012-01-01,10,2676.0,2459.0,91.0,64.0,16.0,46.0,0,2012,1,6,True,midday
2012-01-01,11,3589.0,3349.0,87.0,63.0,18.0,72.0,0,2012,1,6,True,midday
2012-01-01,12,3877.0,3642.0,70.0,63.0,14.0,88.0,0,2012,1,6,True,midday
2012-01-01,13,3077.0,2853.0,74.0,72.0,17.0,61.0,0,2012,1,6,True,midday
2012-01-01,14,3217.0,3015.0,64.0,89.0,14.0,35.0,0,2012,1,6,True,midday
2012-01-01,15,4819.0,4547.0,105.0,81.0,7.0,79.0,0,2012,1,6,True,midday
2012-01-01,16,6025.0,5754.0,92.0,79.0,9.0,91.0,0,2012,1,6,True,evening_peak
2012-01-01,17,5841.0,5554.0,113.0,83.0,17.0,74.0,0,2012,1,6,True,evening_peak
2012-01-01,18,5116.0,4861.0,79.0,78.0,13.0,85.0,0,2012,1,6,True,evening_peak
2012-01-01,19,4356.0,4127.0,75.0,67.0,12.0,75.0,0,2012,1,6,True,evening_peak
2012-01-01,20,3342.0,3158.0,70.0,58.0,6.0,50.0,0,2012,1,6,True,evening
2012-01-01,21,2639.0,2479.0,67.0,48.0,7.0,38.0,0,2012,1,6,True,evening
2012-01-01,22,2492.0,2327.0,69.0,47.0,8.0,41.0,0,2012,1,6,True,evening
2012-01-01,23,1939.0,1788.0,53.0,50.0,14.0,34.0,0,2012,1,6,True,evening
2012-01-02,0,1204.0,1071.0,46.0,54.0,6.0,27.0,0,2012,1,0,False,night
2012-01-02,1,669.0,585.0,51.0,17.0,6.0,10.0,0,2012,1,0,False,night
2012-01-02,2,356.0,294.0,43.0,0.0,12.0,7.0,0,2012,1,0,False,night
2012-01-02,3,318.0,237.0,60.0,0.0,12.0,9.0,0,2012,1,0,False,night
2012-01-02,4,495.0,366.0,105.0,1.0,16.0,7.0,0,2012,1,0,False,night
2012-01-02,5,1173.0,861.0,224.0,19.0,58.0,11.0,0,2012,1,0,False,night
2012-01-02,6,2860.0,1971.0,632.0,77.0,126.0,54.0,0,2012,1,0,False,morning_peak
2012-01-02,7,4781.0,3485.0,977.0,112.0,146.0,61.0,0,2012,1,0,False,morning_peak
2012-01-02,8,5745.0,4643.0,832.0,109.0,98.0,63.0,0,2012,1,0,False,morning_peak
2012-01-02,9,5786.0,4537.0,971.0,94.0,112.0,72.0,0,2012,1,0,False,morning_peak
2012-01-02,10,5770.0,4601.0,904.0,82.0,97.0,86.0,0,2012,1,0,False,midday
2012-01-02,11,5889.0,4897.0,764.0,82.0,74.0,72.0,0,2012,1,0,False,midday
2012-01-02,12,5413.0,4718.0,452.0,88.0,66.0,89.0,0,2012,1,0,False,midday
2012-01-02,13,4759.0,3974.0,576.0,94.0,49.0,66.0,0,2012,1,0,False,midday
2012-01-02,14,5659.0,4798.0,633.0,94.0,58.0,76.0,0,2012,1,0,False,midday
2012-01-02,15,6165.0,5380.0,566.0,90.0,42.0,87.0,0,2012,1,0,False,midday
2012-01-02,16,6039.0,5399.0,435.0,100.0,30.0,75.0,0,2012,1,0,False,evening_peak
2012-01-02,17,6228.0,5710.0,298.0,117.0,31.0,72.0,0,2012,1,0,False,evening_peak
2012-01-02,18,6215.0,5833.0,161.0,114.0,25.0,82.0,0,2012,1,0,False,evening_peak
2012-01-02,19,5462.0,5141.0,131.0,98.0,17.0,75.0,0,2012,1,0,False,evening_peak
2012-01-02,20,4127.0,3886.0,112.0,66.0,18.0,45.0,0,2012,1,0,False,evening
2012-01-02,21,2858.0,2657.0,92.0,56.0,16.0,37.0,0,2012,1,0,False,evening
2012-01-02,22,2471.0,2326.0,57.0,43.0,12.0,33.0,0,2012,1,0,False,evening
2012-01-02,23,2019.0,1847.0,77.0,47.0,23.0,25.0,0,2012,1,0,False,evening
2012-01-03,0,1458.0,1319.0,59.0,51.0,13.0,16.0,0,2012,1,1,False,night
2012-01-03,1,837.0,739.0,60.0,19.0,10.0,9.0,0,2012,1,1,False,night
2012-01-03,2,454.0,370.0,51.0,0.0,19.0,14.0,0,2012,1,1,False,night
2012-01-03,3,358.0,258.0,66.0,1.0,25.0,8.0,0,2012,1,1,False,night
2012-01-03,4,515.0,366.0,127.0,2.0,13.0,7.0,0,2012,1,1,False,night
2012-01-03,5,1268.0,894.0,269.0,20.0,69.0,16.0,0,2012,1,1,False,night
2012-01-03,6,3132.0,2158.0,703.0,79.0,149.0,43.0,0,2012,1,1,False,morning_peak
2012-01-03,7,5780.0,4154.0,1242.0,112.0,177.0,95.0,0,2012,1,1,False,morning_peak
2012-01-03,8,7526.0,6055.0,1101.0,123.0,156.0,91.0,0,2012,1,1,False,morning_peak
2012-01-03,9,8145.0,6506.0,1280.0,111.0,148.0,100.0,0,2012,1,1,False,morning_peak
2012-01-03,10,7557.0,6035.0,1155.0,100.0,163.0,104.0,0,2012,1,1,False,midday
2012-01-03,11,7414.0,6125.0,955.0,96.0,131.0,107.0,0,2012,1,1,False,midday
2012-01-03,12,6329.0,5479.0,574.0,96.0,86.0,94.0,0,2012,1,1,False,midday
2012-01-03,13,5475.0,4580.0,645.0,107.0,68.0,75.0,0,2012,1,1,False,midday
2012-01-03,14,6286.0,5250.0,802.0,105.0,54.0,75.0,0,2012,1,1,False,midday
2012-01-03,15,6815.0,5837.0,721.0,103.0,58.0,96.0,0,2012,1,1,False,midday
2012-01-03,16,6597.0,5880.0,471.0,106.0,39.0,101.0,0,2012,1,1,False,evening_peak
2012-01-03,17,6895.0,6325.0,309.0,111.0,50.0,100.0,0,2012,1,1,False,evening_peak
2012-01-03,18,6867.0,6409.0,201.0,128.0,27.0,102.0,0,2012,1,1,False,evening_peak
2012-01-03,19,6139.0,5771.0,167.0,106.0,16.0,79.0,0,2012,1,1,False,evening_peak
2012-01-03,20,4747.0,4477.0,122.0,68.0,19.0,61.0,0,2012,1,1,False,evening
2012-01-03,21,3250.0,3032.0,91.0,63.0,21.0,43.0,0,2012,1,1,False,evening
2012-01-03,22,2976.0,2796.0,79.0,46.0,11.0,44.0,0,2012,1,1,False,evening
2012-01-03,23,2638.0,2470.0,73.0,50.0,10.0,35.0,0,2012,1,1,False,evening
2012-01-04,0,1782.0,1649.0,46.0,55.0,9.0,23.0,0,2012,1,2,False,night
2012-01-04,1,988.0,889.0,53.0,20.0,8.0,18.0,0,2012,1,2,False,night
2012-01-04,2,569.0,498.0,46.0,1.0,12.0,12.0,0,2012,1,2,False,night
2012-01-04,3,362.0,287.0,55.0,0.0,11.0,9.0,0,2012,1,2,False,night
2012-01-04,4,499.0,349.0,116.0,2.0,21.0,11.0,0,2012,1,2,False,night
2012-01-04,5,1168.0,827.0,243.0,23.0,59.0,16.0,0,2012,1,2,False,night
2012-01-04,6,2954.0,2017.0,701.0,69.0,135.0,32.0,0,2012,1,2,False,morning_peak
2012-01-04,7,5748.0,4145.0,1244.0,104.0,167.0,88.0,0,2012,1,2,False,morning_peak
2012-01-04,8,7738.0,6286.0,1105.0,124.0,145.0,78.0,0,2012,1,2,False,morning_peak
2012-01-04,9,8559.0,6854.0,1338.0,109.0,157.0,101.0,0,2012,1,2,False,morning_peak
2012-01-04,10,7923.0,6355.0,1185.0,108.0,165.0,110.0,0,2012,1,2,False,midday
2012-01-04,11,7566.0,6261.0,975.0,100.0,124.0,106.0,0,2012,1,2,False,midday
2012-01-04,12,6661.0,5732.0,646.0,102.0,87.0,94.0,0,2012,1,2,False,midday
2012-01-04,13,5787.0,4855.0,687.0,102.0,70.0,73.0,0,2012,1,2,False,midday
2012-01-04,14,6630.0,5571.0,804.0,96.0,68.0,91.0,0,2012,1,2,False,midday
2012-01-04,15,7108.0,6089.0,759.0,96.0,54.0,110.0,0,2012,1,2,False,midday
2012-01-04,16,6896.0,6105.0,572.0,100.0,40.0,79.0,0,2012,1,2,False,evening_peak
2012-01-04,17,7271.0,6633.0,396.0,113.0,42.0,87.0,0,2012,1,2,False,evening_peak
2012-01-04,18,7350.0,6896.0,211.0,111.0,37.0,95.0,0,2012,1,2,False,evening_peak
2012-01-04,19,7159.0,6775.0,177.0,99.0,28.0,80.0,0,2012,1,2,False,evening_peak
2012-01-04,20,5187.0,4906.0,127.0,73.0,14.0,67.0,0,2012,1,2,False,evening
2012-01-04,21,3679.0,3462.0,97.0,58.0,12.0,50.0,0,2012,1,2,False,evening
2012-01-04,22,3391.0,3198.0,72.0,49.0,14.0,58.0,0,2012,1,2,False,evening
2012-01-04,23,3075.0,2906.0,61.0,49.0,14.0,45.0,0,2012,1,2,False,evening
2012-01-05,0,2133.0,1973.0,67.0,52.0,9.0,32.0,0,2012,1,3,False,night
2012-01-05,1,1156.0,1049.0,47.0,21.0,11.0,28.0,0,2012,1,3,False,night
2012-01-05,2,645.0,568.0,48.0,0.0,13.0,16.0,0,2012,1,3,False,night
2012-01-05,3,386.0,309.0,58.0,1.0,9.0,9.0,0,2012,1,3,False,night
