codice_istat_comune,denominazione_comune,provincia,anno,mese,localizzazione_incidente,denominazione_strada,tipo_strada,intersezione_nonintersezione,natura_incidente,tipo_veicolo_a,tipo_veicolo_b,tipo_veicolo_c,eta_conducente_a,eta_conducente_b,eta_conducente_c,n_pedoni_morti,n_pedoni_feriti,tot_morti_a_24ore_incidente,tot_morti_a_30gg_incidente,totale_feriti,nome_strada,injury_count,death_count,year,month,severity
15146,MILANO,MI,2021,1,1,000,2,7,5,1,,,0.0,,,0,1,0,0,1,STRADA COMUNALE,1,0,2021,1,injury_only
15146,MILANO,MI,2021,1,1,000,2,8,5,22,,,0.0,,,0,1,0,0,1,,1,0,2021,1,injury_only
15146,MILANO,MI,2021,1,1,,1,1,2,8,1.0,,56.0,47.0,,0,0,0,0,1,via Bovisasca incrocio via Cicogna Mozzoni Carlo,1,0,2021,1,injury_only
15146,MILANO,MI,2021,1,1,,1,1,2,14,1.0,,39.0,59.0,,0,0,0,0,1,piazzale Libia incrocio viale Lazio,1,0,2021,1,injury_only
15146,MILANO,MI,2021,1,1,,1,1,2,14,1.0,,42.0,38.0,,0,0,0,0,1,via Dezza Giuseppe incrocio via del Caravaggio Michelange,1,0,2021,1,injury_only
15146,MILANO,MI,2021,1,1,,1,1,2,20,14.0,,,21.0,,0,0,0,0,1,via Disciplini incrocio via Olmetto,1,0,2021,1,injury_only
15146,MILANO,MI,2021,1,1,,1,1,3,20,1.0,,,32.0,,0,0,0,0,1,via Alberto da Giussano incrocio via Pagano Mario,1,0,2021,1,injury_only
15146,MILANO,MI,2021,1,1,,1,1,5,1,,,64.0,,,0,1,0,0,1,via Calatafimi incrocio via Burigozzo Marco,1,0,2021,1,injury_only
15146,MILANO,MI,2021,1,1,,1,1,7,1,,,21.0,,,0,0,0,0,1,via Comune Antico incrocio via Bottelli Giuseppe,1,0,2021,1,injury_only
15146,MILANO,MI,2021,1,1,,1,1,10,15,,,25.0,,,0,0,0,0,1,piazza De Angeli Ernesto incrocio via Faruffini Federico,1,0,2021,1,injury_only
15146,MILANO,MI,2021,1,1,,1,2,2,1,1.0,,32.0,59.0,,0,0,0,0,2,via Palmanova incrocio via Olgettina,2,0,2021,1,injury_only
15146,MILANO,MI,2021,1,1,,1,2,2,8,15.0,,49.0,33.0,,0,0,0,0,1,piazzale Segrino incrocio via Lario,1,0,2021,1,injury_only
15146,MILANO,MI,2021,1,1,,1,2,8,1,,,29.0,,,0,0,0,0,1,via Padova incrocio via Olgettina,1,0,2021,1,injury_only
15146,MILANO,MI,2021,1,1,,1,3,2,1,14.0,,26.0,25.0,,0,0,0,0,1,via Donatello incrocio via Garofalo Benvenuto,1,0,2021,1,injury_only
15146,MILANO,MI,2021,1,1,,1,3,2,1,14.0,,76.0,38.0,,0,0,0,0,1,via Castelbarco Gian Carlo incrocio via Sarfatti Roberto,1,0,2021,1,injury_only
15146,MILANO,MI,2021,1,1,,1,3,2,1,17.0,,53.0,47.0,,0,0,0,0,2,via Sidoli Giuditta incrocio via Gallina Giacinto,2,0,2021,1,injury_only
15146,MILANO,MI,2021,1,1,,1,3,2,22,3.0,,21.0,34.0,,0,0,0,0,1,via Cesare da Sesto incrocio via Ausonio,1,0,2021,1,injury_only
15146,MILANO,MI,2021,1,1,,1,3,3,1,14.0,,48.0,16.0,,0,0,0,0,1,via Bruschetti Giuseppe incrocio via Sammartini Giovanni,1,0,2021,1,injury_only
15146,MILANO,MI,2021,1,1,,1,3,3,20,1.0,,,37.0,,0,0,0,0,2,via degli Imbriani incrocio via Arrivabene Giovanni,2,0,2021,1,injury_only
15146,MILANO,MI,2021,1,1,,1,3,4,1,1.0,,50.0,29.0,,0,0,0,0,1,via Crivelli Carlo incrocio via Anelli Luigi,1,0,2021,1,injury_only
15146,MILANO,MI,2021,1,1,,1,3,5,1,,,19.0,,,0,1,0,0,1,piazzale Rosa Gabriele incrocio viale Omero,1,0,2021,1,injury_only
15146,MILANO,MI,2021,1,1,,1,3,5,1,,,29.0,,,0,1,0,0,1,via Rimini incrocio via Bordighera,1,0,2021,1,injury_only
15146,MILANO,MI,2021,1,1,,1,3,5,1,,,76.0,,,0,1,0,0,1,via Copernico Nicolo incrocio via Schiaparelli Giovanni,1,0,2021,1,injury_only
15146,MILANO,MI,2021,1,1,,1,3,5,16,,,64.0,,,0,1,0,0,1,via Sarpi Paolo incrocio via Lomazzo Paolo,1,0,2021,1,injury_only
15146,MILANO,MI,2021,1,1,,1,3,10,16,,,35.0,,,0,0,0,0,1,via della Giustizia incrocio via Trubetskoy Paolo,1,0,2021,1,injury_only
15146,MILANO,MI,2021,1,1,,1,4,1,1,1.0,,53.0,28.0,,0,0,0,0,1,viale dei Mille incrocio via Gaio,1,0,2021,1,injury_only
15146,MILANO,MI,2021,1,1,,1,4,2,1,1.0,,36.0,42.0,,0,0,0,0,1,corso Lodi incrocio via Papi Lazzaro,1,0,2021,1,injury_only
15146,MILANO,MI,2021,1,1,,1,4,3,1,16.0,,28.0,51.0,,0,0,0,0,1,piazzale Lotto Lorenzo incrocio viale Migliara Giovanni,1,0,2021,1,injury_only
