nome_strada,total_crashes,share_night,share_morning_peak,share_evening_peak,share_weekend,share_fatal_or_severe
A04 - SV  DI CORMANO MI,1,,,,,0.0
AUTOSTRADA MILANO - GENOVA,9,,,,,0.0
AUTOSTRADA MILANO - ROMA - NAPOLI,1,,,,,0.0
AUTOSTRADA MILANO - VARESE,13,,,,,0.07692307692307693
AUTOSTRADA TORINO - TRIESTE,25,,,,,0.0
Autostrada del Sole incrocio via Cassinis Gino,1,,,,,0.0
"Autostrada del Sole, palo luce 76",1,,,,,0.0
"CAVALCAVIA LURAGHI, palo luce 71/2",1,,,,,0.0
"Giardino Robert Baden-Powell, palo luce 100",1,,,,,0.0
"Interno Ospedale di Niguarda, palo luce 11",1,,,,,0.0
Molino Dorino - uscita Tangenziale -->Barzaghi,1,,,,,0.0
P le Damiano Chiesa incrocio via Colonna Marco Antonio,1,,,,,0.0
P le Damiano Chiesa incrocio via Ruggero di Lauria,2,,,,,0.0
Parco dei Martiri della Liberta Iracheni Vittime d all'in,1,,,,,0.0
Piazza Piola incrocio via Pacini Giovanni,1,,,,,0.0
Piazza Piola incrocio via Spinoza Benedetto,1,,,,,0.0
RACCORDO AUTOSTRADA DEL SOLE al Km  100,1,,,,,0.0
RACCORDO AUTOSTRADA DEL SOLE direzione tangenziole ovest,1,,,,,0.0
RACCORDO AUTOSTRADA DEL SOLE in corrispondenza del tratto,1,,,,,0.0
RACCORDO AUTOSTRADALE A1 direz periferia torre faro 84,1,,,,,0.0
RACCORDO AUTOSTRADALE A1 direzione tangenziali torre faro,1,,,,,0.0
RACCORDO AUTOSTRADALE A1 in prossimita Torre Faro n  10,1,,,,,0.0
"RACCORDO AUTOSTRADALE A1, palo luce 83",1,,,,,0.0
STRADA COMUNALE,6,,,,,0.0
STRADA EXTRAURBANA PRINCIPALE,1,,,,,0.0
STRADA PROVINCIALE,1,,,,,0.0
STRADA PROVINCIALE MI - EX SS11 PADANA SUPERIORE,5,,,,,0.0
STRADA PROVINCIALE MI - EX SS35 DEI GIOVI,1,,,,,0.0
STRADA URBANA DI SCORRIMENTO,1,,,,,0.0
SVINCOLO DI VIALE CERTOSA,3,,,,,0.0
TANGENZIALE EST DI MILANO,79,,,,,0.012658227848101266
TANGENZIALE OVEST DI MILANO,58,,,,,0.017241379310344827
Via Agostino Depretis fronte palo luce n  29/1,1,,,,,0.0
"Via Baggio, 10",1,,,,,0.0
"Via Brembo, palo luce 2850",1,,,,,0.0
"Via Fausto Melotti, 5",1,,,,,0.0
Via Konrad Adenauer incrocio raccordo Autostrada del Sole,1,,,,,0.0
Via Milano incrocio via Bormio,1,,,,,0.0
Via San Gregorio incrocio via Marcello Benedetto,1,,,,,0.0
Via San Gregorio incrocio via Settala Lodovico,1,,,,,0.0
"Via San Gregorio, 23",1,,,,,0.0
"Via San Gregorio, 25",1,,,,,0.0
"Via San Gregorio, 35",1,,,,,0.0
Viale Enrico Forlanini LIMITE TERRITORIO PESCHIERA BORROM,1,,,,,0.0
"alzaia Naviglio Grande, 147",1,,,,,0.0
"alzaia Naviglio Grande, 152",1,,,,,0.0
"alzaia Naviglio Grande, 156",1,,,,,0.0
"alzaia Naviglio Grande, palo luce 169",1,,,,,0.0
alzaia Naviglio Pavese incrocio via Don Rodrigo,1,,,,,0.0
alzaia Naviglio Pavese incrocio via Fra Cristoforo,1,,,,,0.0
alzaia Naviglio Pavese incrocio via Gola Emilio,1,,,,,0.0
alzaia Naviglio Pavese incrocio via Imperia,1,,,,,0.0
alzaia Naviglio Pavese incrocio via Schiavoni Giovanni,1,,,,,0.0
alzaia Naviglio Pavese incrocio viale Liguria,1,,,,,0.0
alzaia Naviglio Pavese incrocio viale Tibaldi,1,,,,,0.0
"alzaia Naviglio Pavese, 120",1,,,,,0.0
"alzaia Naviglio Pavese, 192",1,,,,,0.0
"alzaia Naviglio Pavese, 254",1,,,,,0.0
"alzaia Naviglio Pavese, 260",2,,,,,0.0
bastioni di Porta Nuova in prossimita del Piazzale Princi,1,,,,,0.0
bastioni di Porta Nuova incrocio piazza Venticinque April,1,,,,,0.0
bastioni di Porta Nuova incrocio via Gioia Melchiorre,3,,,,,0.0
bastioni di Porta Nuova incrocio via Solferino,1,,,,,0.0
"bastioni di Porta Nuova, 21",1,,,,,0.0
"bastioni di Porta Nuova, 4",1,,,,,1.0
"bastioni di Porta Nuova, palo luce 5",1,,,,,0.0
"bastioni di Porta Nuova, palo luce 9/1",1,,,,,0.0
bastioni di Porta Venezia incrocio corso Venezia,6,,,,,0.0
bastioni di Porta Venezia incrocio piazza Oberdan Gugliel,2,,,,,0.0
"bastioni di Porta Venezia, 9",1,,,,,0.0
"bastioni di Porta Venezia, palo luce 1/1",1,,,,,0.0
"bastioni di Porta Venezia, palo luce 12",1,,,,,0.0
"bastioni di Porta Venezia, palo luce 22",1,,,,,0.0
"bastioni di Porta Venezia, palo luce 22/1",1,,,,,0.0
"bastioni di Porta Venezia, palo luce 26/2",1,,,,,0.0
"bastioni di Porta Venezia, palo luce 29",1,,,,,0.0
"bastioni di Porta Venezia, palo luce 9",1,,,,,0.0
