data_giorno;giorno;totale_transiti_giornalieri_h24;totale_transiti_giornalieri_7.30_19.30_autoveicoli;totale_transiti_giornalieri_7.30_19.30_ciclomotori_motocicli;totale_transiti_giornalieri_00.00_7.29_autoveicoli;totale_transiti_giornalieri_00.00_7.29_ciclomotori_motocicli;totale_transiti_giornalieri_19.30_23.59_autoveicoli;totale_transiti_giornalieri_19.30_23.59_ciclomotori_motocicli
2024-11-30 00:00:00+01:00;sabato;122931;75332;9712;13491;965;21745;1686
2024-11-29 00:00:00+01:00;venerdì;140370;78471;21552;14165;1061;22538;2583
2024-11-28 00:00:00+01:00;giovedì;139258;78786;22959;12768;1022;21233;2490
2024-11-27 00:00:00+01:00;mercoledì;134273;77267;21522;12017;954;20046;2467
2024-11-26 00:00:00+01:00;martedì;130119;79270;17258;11609;837;19130;2015
2024-11-25 00:00:00+01:00;lunedì;126069;73105;19495;12552;870;17871;2176
2024-11-24 00:00:00+01:00;domenica;105173;63913;8842;14784;854;15676;1104
2024-11-23 00:00:00+01:00;sabato;129855;77513;9898;15312;975;24078;2079
2024-11-22 00:00:00+01:00;venerdì;140795;78646;19220;14502;848;25239;2340
2024-11-21 00:00:00+01:00;giovedì;139551;80511;20213;13208;934;23198;1487
2024-11-20 00:00:00+01:00;mercoledì;135833;78129;21869;11639;923;20839;2434
2024-11-19 00:00:00+01:00;martedì;129152;75695;20083;11576;904;18833;2061
2024-11-18 00:00:00+01:00;lunedì;123815;72171;20793;12206;913;15808;1924
2024-11-17 00:00:00+01:00;domenica;103602;66901;6438;12994;675;15377;1217
2024-11-16 00:00:00+01:00;sabato;123255;74814;8740;14246;1068;22765;1622
2024-11-15 00:00:00+01:00;venerdì;140846;76637;22334;14327;1138;23663;2747
2024-11-14 00:00:00+01:00;giovedì;141521;79914;22964;13548;1076;21480;2539
2024-11-13 00:00:00+01:00;mercoledì;137444;78041;23388;12295;1044;20095;2581
2024-11-12 00:00:00+01:00;martedì;136101;77167;24895;11936;1057;18481;2565
2024-11-11 00:00:00+01:00;lunedì;127839;72933;22484;12540;968;16776;2138
2024-11-10 00:00:00+01:00;domenica;104228;64885;7191;13791;912;15913;1536
2024-11-09 00:00:00+01:00;sabato;129783;77653;10490;14960;1016;23533;2131
2024-11-08 00:00:00+01:00;venerdì;161009;90167;22895;14576;1142;29413;2816
2024-11-07 00:00:00+01:00;giovedì;140395;78874;23887;13183;1050;20822;2579
2024-11-06 00:00:00+01:00;mercoledì;136598;77152;23907;12506;1032;19298;2703
2024-11-05 00:00:00+01:00;martedì;132872;76042;23788;11270;939;18516;2317
2024-11-04 00:00:00+01:00;lunedì;122194;69395;21815;12051;1023;15924;1986
2024-11-03 00:00:00+01:00;domenica;87221;54351;6135;10056;671;14851;1157
2024-11-02 00:00:00+01:00;sabato;90875;55079;7206;9279;657;17233;1421
2024-11-01 00:00:00+01:00;venerdì;85634;47466;6684;14929;1088;14139;1328
2024-10-31 00:00:00+01:00;giovedì;132458;71042;22186;13443;1358;21888;2541
2024-10-30 00:00:00+01:00;mercoledì;136395;75116;25146;13167;1195;19010;2761
2024-10-29 00:00:00+01:00;martedì;136229;76251;25460;11892;1169;18553;2904
2024-10-28 00:00:00+01:00;lunedì;128338;71612;24850;12159;1142;16083;2492
2024-10-27 00:00:00+02:00;domenica;102770;62777;7260;15103;814;15023;1793
2024-10-26 00:00:00+02:00;sabato;123264;76480;4755;15594;745;24204;1486
2024-10-25 00:00:00+02:00;venerdì;137675;75032;19373;14395;1147;25525;2203
2024-10-24 00:00:00+02:00;giovedì;138043;79172;20318;13335;1088;21371;2759
2024-10-23 00:00:00+02:00;mercoledì;137597;78254;22436;12887;1191;20162;2667
2024-10-22 00:00:00+02:00;martedì;140147;77054;28172;12092;1263;18558;3008
2024-10-21 00:00:00+02:00;lunedì;130070;71014;26337;12404;1169;16502;2644
2024-10-20 00:00:00+02:00;domenica;102356;62498;7408;14212;399;16074;1765
2024-10-19 00:00:00+02:00;sabato;123142;74250;7171;15330;1344;23913;1134
2024-10-18 00:00:00+02:00;venerdì;151092;85086;17184;15294;915;29195;3418
2024-10-17 00:00:00+02:00;giovedì;132705;82425;12410;14142;687;21525;1516
2024-10-16 00:00:00+02:00;mercoledì;133240;83367;12065;13370;984;22039;1415
