data;timeIndex;NC;ALTRO;BUS;MERCI;PERSONE;areac
2014-01-01;00:00;189;3;6;10;650;0
2014-01-01;00:30;287;4;21;25;1191;0
2014-01-01;01:00;375;5;14;37;1777;0
2014-01-01;01:30;412;8;10;25;1862;0
2014-01-01;02:00;409;8;10;29;1694;0
2014-01-01;02:30;302;8;14;21;1447;0
2014-01-01;03:00;308;11;14;28;1239;0
2014-01-01;03:30;243;3;13;19;1047;0
2014-01-01;04:00;239;11;12;27;829;0
2014-01-01;04:30;180;7;14;15;765;0
2014-01-01;05:00;185;5;11;17;625;0
2014-01-01;05:30;147;6;14;19;606;0
2014-01-01;06:00;133;21;16;15;541;0
2014-01-01;06:30;108;12;20;17;598;0
2014-01-01;07:00;88;5;18;14;387;0
2014-01-01;07:30;84;7;18;14;413;0
2014-01-01;08:00;86;13;21;15;321;0
2014-01-01;08:30;96;12;24;18;389;0
2014-01-01;09:00;96;18;22;33;522;0
2014-01-01;09:30;119;12;25;32;724;0
2014-01-01;10:00;158;10;18;30;978;0
2014-01-01;10:30;194;10;31;45;1243;0
2014-01-01;11:00;252;8;27;48;1346;0
2014-01-01;11:30;256;12;28;36;1523;0
2014-01-01;12:00;303;8;31;39;1639;0
2014-01-01;12:30;295;5;21;37;1604;0
2014-01-01;13:00;275;10;28;35;1410;0
2014-01-01;13:30;248;4;30;34;1289;0
2014-01-01;14:00;294;6;29;28;1336;0
2014-01-01;14:30;363;6;31;32;1760;0
2014-01-01;15:00;426;2;29;38;2136;0
2014-01-01;15:30;482;6;29;41;2442;0
2014-01-01;16:00;470;6;30;49;2735;0
2014-01-01;16:30;402;12;29;54;2622;0
2014-01-01;17:00;421;9;28;50;2600;0
2014-01-01;17:30;366;8;35;35;2326;0
2014-01-01;18:00;316;3;26;34;2150;0
2014-01-01;18:30;283;10;24;36;1951;0
2014-01-01;19:00;257;4;23;27;1780;0
2014-01-01;19:30;251;9;25;20;1617;0
2014-01-01;20:00;234;5;20;28;1331;0
2014-01-01;20:30;206;3;21;17;1095;0
2014-01-01;21:00;198;7;18;20;955;0
2014-01-01;21:30;182;1;17;20;955;0
2014-01-01;22:00;191;4;16;16;942;0
2014-01-01;22:30;169;3;13;23;879;0
2014-01-01;23:00;173;7;15;26;792;0
2014-01-01;23:30;129;1;10;24;634;0
2014-01-02;00:00;148;2;12;24;518;0
2014-01-02;00:30;102;1;16;8;363;0
2014-01-02;01:00;95;4;11;14;275;0
2014-01-02;01:30;75;2;5;16;182;0
2014-01-02;02:00;66;2;;15;123;0
2014-01-02;02:30;45;2;;16;82;0
2014-01-02;03:00;54;2;;20;68;0
2014-01-02;03:30;41;5;;29;86;0
2014-01-02;04:00;49;4;;24;94;0
2014-01-02;04:30;81;6;;61;172;0
2014-01-02;05:00;93;13;7;67;251;0
2014-01-02;05:30;123;23;11;114;447;0
2014-01-02;06:00;122;45;17;149;604;0
2014-01-02;06:30;170;46;25;311;972;0
2014-01-02;07:00;235;51;36;434;1311;0
2014-01-02;07:30;298;73;33;461;1585;0
2014-01-02;08:00;392;48;32;413;1860;0
2014-01-02;08:30;445;57;34;453;2081;0
2014-01-02;09:00;415;57;45;440;1970;0
2014-01-02;09:30;463;60;25;408;2198;0
2014-01-02;10:00;441;45;33;399;2234;0
2014-01-02;10:30;446;59;40;377;2284;0
2014-01-02;11:00;457;39;32;336;2427;0
2014-01-02;11:30;432;37;41;303;2254;0
2014-01-02;12:00;384;31;36;249;2144;0
2014-01-02;12:30;431;37;27;216;2026;0
2014-01-02;13:00;350;31;40;218;1783;0
2014-01-02;13:30;337;26;31;215;1665;0
2014-01-02;14:00;416;30;35;273;1946;0
2014-01-02;14:30;419;14;35;302;2280;0
2014-01-02;15:00;463;20;35;227;2239;0
2014-01-02;15:30;419;17;38;204;2231;0
2014-01-02;16:00;428;19;33;189;2377;0
2014-01-02;16:30;385;15;39;171;2305;0
2014-01-02;17:00;409;14;43;126;2507;0
2014-01-02;17:30;391;13;34;87;2563;0
2014-01-02;18:00;380;8;42;91;2510;0
2014-01-02;18:30;357;15;37;80;2335;0
2014-01-02;19:00;333;7;31;58;2082;0
2014-01-02;19:30;310;17;28;50;2142;0
2014-01-02;20:00;293;5;24;34;1817;0
2014-01-02;20:30;254;8;21;48;1342;0
2014-01-02;21:00;208;7;17;27;1078;0
2014-01-02;21:30;209;3;19;26;1053;0
2014-01-02;22:00;210;8;15;27;1017;0
2014-01-02;22:30;190;5;17;22;901;0
2014-01-02;23:00;203;5;19;26;841;0
2014-01-02;23:30;182;5;12;14;805;0
2014-01-03;00:00;144;3;16;17;664;0
2014-01-03;00:30;130;6;19;16;490;0
2014-01-03;01:00;110;5;10;15;371;0
2014-01-03;01:30;97;6;5;20;267;0
2014-01-03;02:00;95;6;;14;196;0
2014-01-03;02:30;64;2;;14;170;0
2014-01-03;03:00;63;2;;19;123;0
2014-01-03;03:30;57;9;;26;109;0
2014-01-03;04:00;66;6;;40;142;0
2014-01-03;04:30;77;7;;58;172;0
2014-01-03;05:00;114;16;7;77;280;0
2014-01-03;05:30;106;34;9;116;376;0
2014-01-03;06:00;103;46;18;153;563;0
2014-01-03;06:30;176;63;30;327;988;0
2014-01-03;07:00;239;84;30;451;1325;0
2014-01-03;07:30;303;68;36;472;1553;0
2014-01-03;08:00;382;58;37;497;1820;0
2014-01-03;08:30;470;59;44;445;2358;0
2014-01-03;09:00;449;79;44;495;2210;0
2014-01-03;09:30;493;63;33;473;2399;0
2014-01-03;10:00;491;78;34;478;2470;0
2014-01-03;10:30;536;61;41;424;2718;0
2014-01-03;11:00;521;63;36;422;2728;0
2014-01-03;11:30;528;51;40;341;2602;0
2014-01-03;12:00;491;39;38;261;2514;0
2014-01-03;12:30;424;47;31;248;2332;0
2014-01-03;13:00;400;34;43;230;2192;0
2014-01-03;13:30;434;40;42;289;2038;0
2014-01-03;14:00;547;29;33;274;1923;0
2014-01-03;14:30;521;26;36;257;2294;0
2014-01-03;15:00;473;41;35;259;2488;0
2014-01-03;15:30;477;26;38;258;2554;0
2014-01-03;16:00;500;17;43;198;2565;0
2014-01-03;16:30;450;21;42;179;2585;0
2014-01-03;17:00;423;17;39;155;2802;0
2014-01-03;17:30;466;17;45;111;2712;0
2014-01-03;18:00;434;13;37;82;2654;0
2014-01-03;18:30;398;11;38;82;2355;0
2014-01-03;19:00;386;15;33;72;2248;0
2014-01-03;19:30;394;13;28;47;2479;0
2014-01-03;20:00;370;5;24;53;2157;0
