Anno;Mese;NaturaIncidente;Incidenti;Feriti;Morti
2023;6;Investimento pedone;67;81;0
2023;6;Scontro frontale;14;20;0
2023;6;Scontro frontale-laterale;227;290;1
2023;6;Scontro laterale;86;98;0
2023;6;Tamponamento;77;93;0
2023;6;Urto con ostacolo;55;61;0
2023;6;Urto con veicolo in fermata o sosta;69;75;0
2023;7;Altre cause;8;9;0
2023;7;Fuoriuscita, sbandamento;83;87;0
2023;7;Investimento pedone;66;70;2
2023;7;Scontro frontale;8;12;0
2023;7;Scontro frontale-laterale;166;244;0
2023;7;Scontro laterale;70;76;0
2023;7;Tamponamento;64;81;0
2023;7;Urto con ostacolo;47;54;0
2023;7;Urto con veicolo in fermata o sosta;46;55;0
2023;8;Altre cause;1;1;0
2023;8;Fuoriuscita, sbandamento;62;66;0
2023;8;Investimento pedone;43;49;1
2023;8;Scontro frontale;3;3;0
2023;8;Scontro frontale-laterale;142;205;1
2023;8;Scontro laterale;40;48;0
2023;8;Tamponamento;35;46;1
2023;8;Urto con ostacolo;33;37;1
2023;8;Urto con veicolo in fermata o sosta;32;48;0
2023;9;Altre cause;10;10;0
2023;9;Fuoriuscita, sbandamento;103;112;0
2023;9;Investimento pedone;93;103;3
2023;9;Scontro frontale;9;11;0
2023;9;Scontro frontale-laterale;213;298;2
2023;9;Scontro laterale;81;94;0
2023;9;Tamponamento;67;93;1
2023;9;Urto con ostacolo;45;52;0
2023;9;Urto con veicolo in fermata o sosta;65;78;1
2023;10;Altre cause;7;7;0
2023;10;Fuoriuscita, sbandamento;102;109;0
2023;10;Investimento pedone;111;129;5
2023;10;Scontro frontale;12;18;0
2023;10;Scontro frontale-laterale;238;325;1
2023;10;Scontro laterale;98;112;0
2023;10;Tamponamento;57;87;0
2023;10;Urto con ostacolo;58;66;0
2023;10;Urto con veicolo in fermata o sosta;72;82;0
2023;11;Altre cause;5;4;1
2023;11;Fuoriuscita, sbandamento;92;99;1
2023;11;Investimento pedone;115;138;0
2023;11;Scontro frontale;10;20;0
2023;11;Scontro frontale-laterale;240;300;0
2023;11;Scontro laterale;72;80;0
2023;11;Tamponamento;60;91;2
2023;11;Urto con ostacolo;51;54;0
2023;11;Urto con veicolo in fermata o sosta;46;61;0
2023;12;Altre cause;4;4;0
2023;12;Fuoriuscita, sbandamento;74;79;0
