Anno;Mese;incidenti1veicolo;morti1veicolo;feriti1veicolo;incidenti2veicoli;morti2veicoli;feriti2veicoli;incidenti3veicoli;morti3veicoli;feriti3veicoli;incidenti4veicoli;morti4veicoli;feriti4veicoli;incidenti5veicoli;morti5veicoli;feriti5veicoli;incidenti6veicoli;morti6veicoli;feriti6veicoli;incidenti7epiuveicoli;morti7epiuveicoli;feriti7epiuveicoli;incidentiND;mortiND;feritiND
2022;1;160;2;180;322;1;438;30;0;43;6;0;13;1;0;2;2;0;5;;;;;;
2022;2;191;0;217;324;0;394;33;0;45;10;0;26;2;0;3;1;0;1;;;;1;0;1
2022;3;172;3;185;381;2;484;45;0;56;9;0;15;5;1;8;1;0;1;2;0;6;;;
2022;4;194;1;213;381;1;497;55;0;80;13;0;19;2;0;3;1;0;1;1;0;1;1;0;1
2022;5;254;2;278;447;0;615;49;0;68;10;0;23;2;0;4;1;0;1;1;0;1;1;0;1
2022;6;227;1;248;458;0;578;51;0;80;16;0;36;2;0;4;4;0;5;1;0;1;1;0;1
2022;7;169;2;196;427;1;547;38;1;51;7;0;8;1;0;1;1;0;1;2;0;5;;;
2022;8;121;4;141;239;1;322;21;0;36;5;0;8;2;0;6;;;;1;0;1;;;
2022;9;228;7;259;422;0;528;47;0;75;11;0;16;5;0;11;4;0;6;2;0;3;;;
2022;10;213;2;242;480;0;607;41;0;58;13;0;19;7;0;11;2;0;4;1;0;3;1;0;2
2022;11;257;1;294;356;3;445;50;0;80;11;1;17;3;0;4;1;0;1;3;0;4;1;0;1
2022;12;182;4;199;309;1;399;42;0;69;7;0;11;1;0;1;1;0;1;;;;;;
2023;1;223;2;254;286;0;370;34;0;50;7;0;12;5;0;8;1;0;1;1;0;3;;;
2023;2;192;3;212;358;3;459;42;0;54;9;0;17;1;0;1;2;0;2;1;0;2;;;
2023;3;212;3;254;418;1;530;31;0;46;10;0;20;2;0;4;1;0;1;2;0;2;1;0;1
2023;4;151;1;172;389;2;492;50;1;67;11;0;19;5;0;11;;;;;;;;;
2023;5;242;1;269;452;1;554;49;0;72;16;0;25;3;0;4;1;0;2;1;0;4;;;
2023;6;198;0;227;457;1;545;43;0;56;8;0;9;5;0;10;1;0;1;1;0;1;;;
2023;7;175;2;186;336;0;431;36;0;55;6;0;6;1;0;3;3;0;6;;;;1;0;1
2023;8;124;2;134;237;2;328;24;0;34;2;0;2;1;0;2;;;;1;0;1;2;0;2
2023;9;217;3;233;410;3;530;45;1;65;10;0;18;2;0;2;1;0;1;1;0;2;;;
2023;10;245;4;272;437;1;551;58;0;79;11;0;25;3;0;6;1;1;2;;;;;;
2023;11;235;2;264;402;0;495;44;2;73;5;0;6;3;0;7;1;0;1;1;0;1;;;
2023;12;195;0;221;305;1;365;40;0;66;12;0;19;;;;2;0;3;1;0;1;;;
2024;1;205;0;230;314;1;402;39;0;57;11;0;17;1;0;1;3;0;6;;;;;;
2024;2;175;1;197;335;0;421;24;0;38;9;0;17;4;0;7;1;0;1;2;0;4;;;
2024;3;201;0;224;376;2;454;45;0;72;9;0;13;4;0;5;;;;;;;;;
2024;4;184;3;212;361;1;469;53;0;84;11;0;13;2;0;3;1;0;2;;;;1;0;1
2024;5;223;3;249;407;0;507;39;1;49;14;0;25;5;0;7;1;0;1;1;0;1;2;0;2
